predicted labels,true labels,accuracy,block,item,condition
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
1,0.0,0.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,3,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
1,0.0,0.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,4,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
0,0.0,1.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
1,0.0,0.0,1,5,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
1,0.0,0.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,6,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
1,0.0,0.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,0.0,1.0,1,7,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
1,1.0,1.0,1,8,wrong bias
0,1.0,0.0,1,8,wrong bias
0,1.0,0.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
0,1.0,0.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
1,1.0,1.0,1,9,wrong bias
